Train Number,Train Name,From Station,To Station
05421,MLDT BLGT PASS SPL,MALDA TOWN,BALURGHAT
05422,BLGT MLDT PASS SPL,BALURGHAT,MALDA TOWN
05423,KSJ BTE PASS SPL,KASGANJ,BHARATPUR JN
05424,BTE KSJ PASS SPL,BHARATPUR JN,KASGANJ
05425,GKP AY PASS SPL,GORAKHPUR JN,AYODHYA DHAM JN
05426,AY GKP PASS SPL,AYODHYA DHAM JN,GORAKHPUR JN
05427,AMH BCY DEMU SPL,AZAMGARH,VARANASI CITY
05428,BCY AMH DEMU SPL,VARANASI CITY,AZAMGARH
05451,KSJ TPU MELA SPL,KASGANJ,TANAKPUR
05453,GD STP UN RESERVED,GONDA JN,SITAPUR
05454,STP GD UN RESERVED,SITAPUR,GONDA JN
05461,GCT BCY MEMU SPL,GHAZIPUR CITY,VARANASI CITY
05462,BCY GCT MEMU SPL,VARANASI CITY,GHAZIPUR CITY
05465,APDJ BXT PASS SPL,ALIPUR DUAR JN,BAMANHAT
05466,BXT APDJ PASS SPL,BAMANHAT,ALIPUR DUAR JN
05469,GKP NTV PASS SPL,GORAKHPUR JN,NAUTANWA
05470,NTC GKP PASS SPL,NAUTANWA,NAKAHA JUNGLE
05475,BSBS JI MEMU SPL,BANARAS,JHUSI
05476,JI BSBS MEMU SPL,JHUSI,BANARAS
05477,DIT MAU MEMU SPL,DOHRIGHAT,MAU JN
05478,MAU DIT MEMU SPL,MAU JN,DOHRIGHAT
05479,GCT DLN PASS SPL,GHAZIPUR CITY,DILDARNAGAR JN
05480,DLN GCT PASS SPL,DILDARNAGAR JN,GHAZIPUR CITY
05491,MLN STP PASS SPL,MAILANI,SITAPUR
05492,STP MLN PASS SPL,SITAPUR,MAILANI
05501,BJU SPJ MEMU SPL,BARAUNI JN,SAMASTIPUR JN
05502,SPJ BJU MEMU SPL,SAMASTIPUR JN,BARAUNI JN
05503,GHY MBO PASS SPL,GUWAHATI,MAIRABARI
05504,MBO GHY PASS SPL,MAIRABARI,GUWAHATI
05505,SPJ MFP MEMU SPL,SAMASTIPUR JN,MUZAFFARPUR JN
05506,MFP SPJ MEMU SPL,MUZAFFARPUR JN,SAMASTIPUR JN
05507,RXL MAI PASS SPL,RAXAUL JN,MEHSI
05508,MAI RXL PASS SPL,MEHSI,RAXAUL JN
